"Sygnatura czasowa","Ilu bliskich znajomych miałeś/miałaś w chwili wybuchu pandemii? ","Ilu bliskich znajomych masz  obecnie?","Czy w chwili wybuchu pandemii byłeś/byłaś w związku?","Czy obecnie jesteś w związku?","W skali 0-5 oceń poziom swojej aktywności fizycznej na początku 2020 roku.","W skali 0-5 oceń poziom swojej aktywności fizycznej obecnie","Jaki jest twój typ osobowości?","Jaka jest twoja płeć?"
"2021/05/10 8:13:27 AM EET","3","3","Tak","Tak","5","5","infj","Kobieta"
"2021/05/10 8:26:41 AM EET","3","0","Nie","Nie","3","0","infp","Mężczyzna"
"2021/05/10 9:37:05 AM EET","5","5","Nie","Nie","3","1","entp","Kobieta"
"2021/05/10 10:52:47 AM EET","2","2","Nie","Tak","0","0","infp","Kobieta"
"2021/05/10 11:25:15 AM EET","Więcej niż 5","2","Tak","Nie","2","0","infj","Kobieta"
"2021/05/10 11:30:09 AM EET","3","1","Nie","Nie","3","0","infp","Pomijam pytanie"
"2021/05/10 12:53:54 PM EET","2","2","Tak","Tak","4","2","istp","Mężczyzna"
"2021/05/10 2:41:02 PM EET","5","3","Nie","Nie","1","0","intp","Kobieta"
"2021/05/10 3:13:31 PM EET","4","2","Tak","Nie","3","0","intj","Kobieta"
"2021/05/10 4:40:52 PM EET","0","1","Nie","Nie","0","2","infp","Mężczyzna"
"2021/05/10 5:14:44 PM EET","2","1","Nie","Nie","3","5","estj","Kobieta"
"2021/05/10 7:48:34 PM EET","Więcej niż 5","Więcej niż 5","Nie","Nie","1","1","istj","Kobieta"
"2021/05/10 8:04:16 PM EET","Więcej niż 5","2","Nie","Nie","4","1","enfp","Kobieta"
"2021/05/10 8:17:01 PM EET","4","2","Nie","Nie","1","1","infp","Kobieta"
"2021/05/10 9:46:07 PM EET","2","2","Nie","Nie","4","2","infp","Kobieta"
"2021/05/11 12:19:22 AM EET","2","2","Tak","Tak","3","2","estp","Kobieta"
"2021/05/11 11:38:25 AM EET","3","1","Nie","Nie","4","1","intj","Kobieta"
"2021/05/11 1:03:13 PM EET","3","Więcej niż 5","Tak","Nie","4","4","entp","Kobieta"
"2021/05/11 1:17:23 PM EET","1","1","Nie","Nie","1","2","intj","Mężczyzna"
"2021/05/11 10:22:24 PM EET","3","2","Nie","Nie","2","2","infp","Kobieta"
"2021/05/11 10:34:48 PM EET","2","2","Nie","Nie","3","0","istj","Kobieta"
"2021/05/12 2:27:22 PM EET","3","0","Nie","Nie","0","0","enfp","Kobieta"
"2021/05/14 8:18:38 AM EET","3","2","Nie","Nie","4","3","infp","Mężczyzna"
